sigma,typeII,typeII_o,typeII_c,typeII_oc
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0.001,0
14,0,0,0.008,0
15,0,0,0.018,0
16,0,0,0.051,0
17,0,0,0.098,0
18,0.001,0,0.185,0
19,0.002,0,0.293,0
20,0.006,0,0.402,0
21,0.011,0,0.497,0
22,0.015,0,0.593,0
23,0.02,0,0.671,0
24,0.031,0,0.72,0
25,0.055,0,0.779,0
26,0.079,0,0.827,0
27,0.093,0,0.863,0.001
28,0.113,0.001,0.886,0.001
29,0.151,0.001,0.903,0.001
30,0.184,0.001,0.923,0.001
31,0.236,0.001,0.937,0.002
32,0.26,0.001,0.948,0.002
33,0.296,0.002,0.959,0.005
34,0.332,0.002,0.965,0.006
35,0.362,0.003,0.967,0.007
36,0.407,0.004,0.971,0.009
37,0.442,0.004,0.974,0.012
38,0.466,0.006,0.977,0.016
39,0.496,0.01,0.979,0.027
40,0.519,0.013,0.983,0.042
41,0.547,0.018,0.985,0.069
42,0.573,0.034,0.987,0.103
43,0.591,0.054,0.989,0.163
44,0.614,0.083,0.992,0.255
45,0.636,0.127,0.994,0.347
46,0.654,0.21,0.995,0.487
47,0.668,0.288,0.995,0.626
48,0.684,0.4,0.996,0.74
49,0.696,0.514,0.996,0.85
50,0.708,0.625,0.996,0.92
51,0.722,0.737,0.996,0.964
52,0.738,0.816,0.996,0.992
53,0.752,0.895,0.997,0.997
54,0.76,0.942,0.997,1
55,0.767,0.977,0.997,1
56,0.781,0.988,0.997,1
57,0.788,0.997,0.997,1
58,0.799,0.998,0.997,1
59,0.807,1,0.999,1
60,0.816,1,0.999,1
61,0.827,1,0.999,1
62,0.832,1,0.999,1
63,0.842,1,0.999,1
64,0.851,1,0.999,1
65,0.857,1,0.999,1
66,0.862,1,0.999,1
67,0.865,1,0.999,1
68,0.869,1,0.999,1
69,0.874,1,0.999,1
70,0.877,1,0.999,1
71,0.882,1,0.999,1
72,0.883,1,0.999,1
73,0.888,1,0.999,1
74,0.889,1,0.999,1
75,0.895,1,0.999,1
76,0.896,1,0.999,1
77,0.898,1,0.999,1
78,0.903,1,0.999,1
79,0.903,1,0.999,1
80,0.908,1,0.999,1
81,0.909,1,0.999,1
82,0.909,1,0.999,1
83,0.91,1,0.999,1
84,0.918,1,0.999,1
85,0.92,1,0.999,1
86,0.921,1,0.999,1
87,0.924,1,0.999,1
88,0.926,1,0.999,1
89,0.931,1,0.999,1
90,0.931,1,0.999,1
91,0.935,1,0.999,1
92,0.936,1,0.999,1
93,0.936,1,0.999,1
94,0.939,1,0.999,1
95,0.939,1,0.999,1
96,0.941,1,1,1
97,0.943,1,1,1
98,0.946,1,1,1
99,0.947,1,1,1
100,0.947,1,1,1
101,0.948,1,1,1
102,0.948,1,1,1
103,0.95,1,1,1
104,0.952,1,1,1
105,0.952,1,1,1
106,0.954,1,1,1
107,0.956,1,1,1
108,0.956,1,1,1
109,0.957,1,1,1
110,0.958,1,1,1
111,0.959,1,1,1
112,0.962,1,1,1
113,0.962,1,1,1
114,0.962,1,1,1
115,0.962,1,1,1
116,0.962,1,1,1
117,0.962,1,1,1
118,0.963,1,1,1
119,0.964,1,1,1
120,0.964,1,1,1
121,0.964,1,1,1
122,0.964,1,1,1
123,0.964,1,1,1
124,0.964,1,1,1
125,0.964,1,1,1
126,0.965,1,1,1
127,0.966,1,1,1
128,0.968,1,1,1
129,0.969,1,1,1
130,0.969,1,1,1
131,0.969,1,1,1
132,0.969,1,1,1
133,0.969,1,1,1
134,0.969,1,1,1
135,0.969,1,1,1
136,0.969,1,1,1
137,0.97,1,1,1
138,0.97,1,1,1
139,0.971,1,1,1
140,0.971,1,1,1
141,0.971,1,1,1
142,0.971,1,1,1
143,0.971,1,1,1
144,0.971,1,1,1
145,0.971,1,1,1
146,0.971,1,1,1
147,0.972,1,1,1
148,0.972,1,1,1
149,0.972,1,1,1
150,0.972,1,1,1
