sigma,typeI,typeI_o,typeI_c,typeI_oc
1,0.047,0.004,0.003,0
2,0.047,0.004,0.003,0
3,0.047,0.004,0.003,0
4,0.047,0.004,0.003,0
5,0.047,0.004,0.003,0
6,0.047,0.004,0.003,0
7,0.047,0.004,0.003,0
8,0.047,0.004,0.003,0
9,0.047,0.004,0.003,0
10,0.047,0.004,0.003,0
11,0.047,0.004,0.003,0
12,0.047,0.004,0.003,0
13,0.047,0.004,0.002,0
14,0.047,0.004,0.002,0
15,0.047,0.004,0.002,0
16,0.047,0.004,0.002,0
17,0.046,0.004,0.002,0
18,0.045,0.004,0.002,0
19,0.045,0.004,0.002,0
20,0.044,0.004,0.002,0
21,0.044,0.004,0.002,0
22,0.043,0.004,0.002,0
23,0.041,0.004,0.002,0
24,0.039,0.004,0.002,0
25,0.038,0.004,0.002,0
26,0.036,0.002,0.002,0
27,0.035,0.002,0.002,0
28,0.033,0.002,0.002,0
29,0.033,0.002,0.002,0
30,0.033,0.002,0.002,0
31,0.032,0.002,0.002,0
32,0.03,0.002,0.002,0
33,0.03,0.002,0.002,0
34,0.03,0.001,0.002,0
35,0.028,0.001,0.002,0
36,0.028,0.001,0.002,0
37,0.028,0.001,0.002,0
38,0.027,0.001,0.002,0
39,0.027,0,0.002,0
40,0.027,0,0.002,0
41,0.026,0,0.002,0
42,0.024,0,0.002,0
43,0.023,0,0.002,0
44,0.023,0,0.002,0
45,0.023,0,0.002,0
46,0.022,0,0.002,0
47,0.022,0,0.002,0
48,0.022,0,0.002,0
49,0.022,0,0.002,0
50,0.022,0,0.002,0
51,0.022,0,0.002,0
52,0.022,0,0.002,0
53,0.021,0,0.002,0
54,0.021,0,0.002,0
55,0.021,0,0.002,0
56,0.021,0,0.002,0
57,0.021,0,0.002,0
58,0.021,0,0.002,0
59,0.021,0,0.001,0
60,0.021,0,0.001,0
61,0.021,0,0.001,0
62,0.022,0,0.001,0
63,0.022,0,0.001,0
64,0.022,0,0.001,0
65,0.021,0,0.001,0
66,0.021,0,0.001,0
67,0.021,0,0.001,0
68,0.021,0,0.001,0
69,0.021,0,0.001,0
70,0.021,0,0.001,0
71,0.021,0,0.001,0
72,0.02,0,0.001,0
73,0.02,0,0.001,0
74,0.02,0,0.001,0
75,0.02,0,0,0
76,0.02,0,0,0
77,0.02,0,0,0
78,0.02,0,0,0
79,0.02,0,0,0
80,0.02,0,0,0
81,0.02,0,0,0
82,0.02,0,0,0
83,0.02,0,0,0
84,0.02,0,0,0
85,0.02,0,0,0
86,0.02,0,0,0
87,0.02,0,0,0
88,0.02,0,0,0
89,0.02,0,0,0
90,0.02,0,0,0
91,0.02,0,0,0
92,0.02,0,0,0
93,0.02,0,0,0
94,0.02,0,0,0
95,0.02,0,0,0
96,0.02,0,0,0
97,0.02,0,0,0
98,0.02,0,0,0
99,0.02,0,0,0
100,0.02,0,0,0
101,0.019,0,0,0
102,0.019,0,0,0
103,0.019,0,0,0
104,0.019,0,0,0
105,0.019,0,0,0
106,0.019,0,0,0
107,0.019,0,0,0
108,0.019,0,0,0
109,0.019,0,0,0
110,0.019,0,0,0
111,0.019,0,0,0
112,0.019,0,0,0
113,0.019,0,0,0
114,0.018,0,0,0
115,0.018,0,0,0
116,0.018,0,0,0
117,0.018,0,0,0
118,0.018,0,0,0
119,0.018,0,0,0
120,0.018,0,0,0
121,0.018,0,0,0
122,0.018,0,0,0
123,0.018,0,0,0
124,0.018,0,0,0
125,0.018,0,0,0
126,0.018,0,0,0
127,0.018,0,0,0
128,0.018,0,0,0
129,0.018,0,0,0
130,0.018,0,0,0
131,0.018,0,0,0
132,0.018,0,0,0
133,0.018,0,0,0
134,0.018,0,0,0
135,0.018,0,0,0
136,0.018,0,0,0
137,0.018,0,0,0
138,0.018,0,0,0
139,0.018,0,0,0
140,0.018,0,0,0
141,0.018,0,0,0
142,0.018,0,0,0
143,0.018,0,0,0
144,0.018,0,0,0
145,0.018,0,0,0
146,0.018,0,0,0
147,0.018,0,0,0
148,0.018,0,0,0
149,0.018,0,0,0
150,0.018,0,0,0
