sigma,typeII,typeII_o,typeII_c,typeII_oc
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0.001,0,0,0
36,0.001,0,0,0
37,0.002,0,0,0
38,0.008,0,0,0
39,0.012,0,0,0
40,0.015,0,0,0
41,0.019,0,0,0
42,0.025,0,0,0.001
43,0.031,0,0,0.006
44,0.038,0.002,0,0.017
45,0.041,0.008,0,0.033
46,0.048,0.02,0,0.062
47,0.061,0.032,0.001,0.121
48,0.068,0.052,0.002,0.233
49,0.084,0.083,0.003,0.375
50,0.095,0.15,0.011,0.56
51,0.109,0.253,0.018,0.73
52,0.127,0.365,0.03,0.867
53,0.141,0.525,0.05,0.948
54,0.153,0.653,0.071,0.984
55,0.177,0.783,0.115,0.996
56,0.192,0.891,0.158,0.999
57,0.214,0.955,0.218,0.999
58,0.236,0.975,0.282,1
59,0.245,0.986,0.337,1
60,0.253,0.997,0.398,1
61,0.27,0.998,0.464,1
62,0.285,1,0.517,1
63,0.297,1,0.57,1
64,0.314,1,0.624,1
65,0.328,1,0.674,1
66,0.348,1,0.717,1
67,0.365,1,0.764,1
68,0.382,1,0.794,1
69,0.389,1,0.816,1
70,0.404,1,0.843,1
71,0.409,1,0.87,1
72,0.427,1,0.897,1
73,0.445,1,0.908,1
74,0.457,1,0.922,1
75,0.473,1,0.933,1
76,0.485,1,0.943,1
77,0.502,1,0.951,1
78,0.516,1,0.96,1
79,0.526,1,0.967,1
80,0.538,1,0.972,1
81,0.554,1,0.976,1
82,0.566,1,0.981,1
83,0.579,1,0.983,1
84,0.588,1,0.986,1
85,0.592,1,0.986,1
86,0.601,1,0.989,1
87,0.611,1,0.989,1
88,0.619,1,0.989,1
89,0.629,1,0.989,1
90,0.638,1,0.989,1
91,0.647,1,0.989,1
92,0.66,1,0.99,1
93,0.666,1,0.99,1
94,0.669,1,0.99,1
95,0.676,1,0.992,1
96,0.685,1,0.994,1
97,0.692,1,0.994,1
98,0.694,1,0.994,1
99,0.7,1,0.995,1
100,0.704,1,0.996,1
101,0.711,1,0.996,1
102,0.715,1,0.998,1
103,0.725,1,0.998,1
104,0.733,1,0.998,1
105,0.739,1,0.998,1
106,0.743,1,0.999,1
107,0.751,1,0.999,1
108,0.752,1,0.999,1
109,0.755,1,0.999,1
110,0.762,1,0.999,1
111,0.766,1,0.999,1
112,0.767,1,0.999,1
113,0.769,1,0.999,1
114,0.772,1,0.999,1
115,0.775,1,0.999,1
116,0.779,1,0.999,1
117,0.787,1,0.999,1
118,0.789,1,0.999,1
119,0.794,1,0.999,1
120,0.799,1,0.999,1
121,0.806,1,0.999,1
122,0.811,1,0.999,1
123,0.815,1,0.999,1
124,0.819,1,0.999,1
125,0.821,1,0.999,1
126,0.824,1,0.999,1
127,0.828,1,0.999,1
128,0.829,1,0.999,1
129,0.833,1,0.999,1
130,0.836,1,1,1
131,0.841,1,1,1
132,0.842,1,1,1
133,0.849,1,1,1
134,0.85,1,1,1
135,0.852,1,1,1
136,0.852,1,1,1
137,0.854,1,1,1
138,0.856,1,1,1
139,0.861,1,1,1
140,0.864,1,1,1
141,0.866,1,1,1
142,0.868,1,1,1
143,0.87,1,1,1
144,0.874,1,1,1
145,0.875,1,1,1
146,0.876,1,1,1
147,0.879,1,1,1
148,0.881,1,1,1
149,0.882,1,1,1
150,0.884,1,1,1
