sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0.002,0.002,0.002
20,0.005,0.005,0.005
21,0.007,0.007,0.007
22,0.014,0.014,0.014
23,0.021,0.021,0.021
24,0.031,0.031,0.031
25,0.044,0.044,0.044
26,0.068,0.069,0.069
27,0.086,0.089,0.089
28,0.103,0.107,0.107
29,0.138,0.143,0.143
30,0.186,0.191,0.191
31,0.223,0.241,0.241
32,0.262,0.283,0.283
33,0.291,0.319,0.319
34,0.326,0.383,0.383
35,0.359,0.455,0.455
36,0.391,0.516,0.516
37,0.432,0.588,0.588
38,0.459,0.642,0.642
39,0.481,0.702,0.702
40,0.516,0.765,0.765
41,0.536,0.82,0.82
42,0.558,0.867,0.867
43,0.58,0.903,0.903
44,0.607,0.94,0.94
45,0.631,0.961,0.961
46,0.648,0.978,0.978
47,0.671,0.984,0.984
48,0.684,0.989,0.989
49,0.698,0.993,0.993
50,0.716,0.997,0.997
51,0.73,0.997,0.997
52,0.739,0.997,0.997
53,0.754,0.998,0.998
54,0.764,0.999,0.999
55,0.777,0.999,0.999
56,0.786,0.999,0.999
57,0.797,1,1
58,0.807,1,1
59,0.816,1,1
60,0.825,1,1
61,0.834,1,1
62,0.839,1,1
63,0.847,1,1
64,0.854,1,1
65,0.861,1,1
66,0.864,1,1
67,0.866,1,1
68,0.868,1,1
69,0.872,1,1
70,0.875,1,1
71,0.877,1,1
72,0.885,1,1
73,0.888,1,1
74,0.894,1,1
75,0.9,1,1
76,0.903,1,1
77,0.905,1,1
78,0.907,1,1
79,0.909,1,1
80,0.911,1,1
81,0.911,1,1
82,0.913,1,1
83,0.915,1,1
84,0.92,1,1
85,0.921,1,1
86,0.924,1,1
87,0.925,1,1
88,0.927,1,1
89,0.928,1,1
90,0.93,1,1
91,0.932,1,1
92,0.935,1,1
93,0.935,1,1
94,0.941,1,1
95,0.942,1,1
96,0.946,1,1
97,0.947,1,1
98,0.948,1,1
99,0.95,1,1
100,0.95,1,1
101,0.95,1,1
102,0.952,1,1
103,0.954,1,1
104,0.955,1,1
105,0.955,1,1
106,0.955,1,1
107,0.956,1,1
108,0.957,1,1
109,0.96,1,1
110,0.96,1,1
111,0.962,1,1
112,0.962,1,1
113,0.962,1,1
114,0.962,1,1
115,0.963,1,1
116,0.963,1,1
117,0.965,1,1
118,0.965,1,1
119,0.968,1,1
120,0.968,1,1
121,0.968,1,1
122,0.968,1,1
123,0.968,1,1
124,0.968,1,1
125,0.969,1,1
126,0.969,1,1
127,0.97,1,1
128,0.971,1,1
129,0.971,1,1
130,0.971,1,1
131,0.971,1,1
132,0.973,1,1
133,0.973,1,1
134,0.973,1,1
135,0.975,1,1
136,0.975,1,1
137,0.976,1,1
138,0.976,1,1
139,0.976,1,1
140,0.977,1,1
141,0.978,1,1
142,0.978,1,1
143,0.978,1,1
144,0.978,1,1
145,0.978,1,1
146,0.978,1,1
147,0.978,1,1
148,0.978,1,1
149,0.978,1,1
150,0.978,1,1
