sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0.002,0.002,0
31,0.003,0.003,0
32,0.003,0.003,0
33,0.006,0.006,0
34,0.007,0.009,0.001
35,0.007,0.01,0.002
36,0.01,0.02,0.007
37,0.012,0.03,0.016
38,0.02,0.049,0.027
39,0.031,0.082,0.058
40,0.038,0.118,0.093
41,0.047,0.161,0.133
42,0.061,0.22,0.182
43,0.076,0.292,0.259
44,0.087,0.376,0.353
45,0.093,0.463,0.442
46,0.107,0.555,0.541
47,0.118,0.636,0.629
48,0.147,0.746,0.742
49,0.169,0.814,0.813
50,0.195,0.872,0.871
51,0.209,0.913,0.912
52,0.229,0.945,0.944
53,0.244,0.961,0.96
54,0.271,0.976,0.975
55,0.286,0.985,0.985
56,0.305,0.991,0.991
57,0.322,0.995,0.995
58,0.335,0.999,0.999
59,0.35,0.999,0.999
60,0.371,0.999,0.999
61,0.396,1,1
62,0.418,1,1
63,0.435,1,1
64,0.453,1,1
65,0.473,1,1
66,0.49,1,1
67,0.509,1,1
68,0.522,1,1
69,0.532,1,1
70,0.552,1,1
71,0.569,1,1
72,0.582,1,1
73,0.594,1,1
74,0.607,1,1
75,0.616,1,1
76,0.627,1,1
77,0.634,1,1
78,0.647,1,1
79,0.655,1,1
80,0.66,1,1
81,0.669,1,1
82,0.681,1,1
83,0.695,1,1
84,0.704,1,1
85,0.713,1,1
86,0.721,1,1
87,0.728,1,1
88,0.737,1,1
89,0.741,1,1
90,0.749,1,1
91,0.761,1,1
92,0.768,1,1
93,0.777,1,1
94,0.787,1,1
95,0.795,1,1
96,0.799,1,1
97,0.81,1,1
98,0.816,1,1
99,0.821,1,1
100,0.825,1,1
101,0.834,1,1
102,0.839,1,1
103,0.845,1,1
104,0.848,1,1
105,0.85,1,1
106,0.854,1,1
107,0.855,1,1
108,0.861,1,1
109,0.863,1,1
110,0.869,1,1
111,0.87,1,1
112,0.873,1,1
113,0.877,1,1
114,0.878,1,1
115,0.884,1,1
116,0.887,1,1
117,0.891,1,1
118,0.893,1,1
119,0.894,1,1
120,0.896,1,1
121,0.902,1,1
122,0.904,1,1
123,0.906,1,1
124,0.906,1,1
125,0.906,1,1
126,0.91,1,1
127,0.913,1,1
128,0.915,1,1
129,0.915,1,1
130,0.916,1,1
131,0.918,1,1
132,0.919,1,1
133,0.92,1,1
134,0.921,1,1
135,0.921,1,1
136,0.924,1,1
137,0.925,1,1
138,0.925,1,1
139,0.925,1,1
140,0.927,1,1
141,0.93,1,1
142,0.932,1,1
143,0.938,1,1
144,0.938,1,1
145,0.938,1,1
146,0.939,1,1
147,0.941,1,1
148,0.943,1,1
149,0.944,1,1
150,0.945,1,1
