sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0.002,0
32,0,0.021,0.003
33,0,0.168,0.088
34,0,0.636,0.584
35,0,0.947,0.947
36,0,0.998,0.998
37,0.001,1,1
38,0.003,1,1
39,0.004,1,1
40,0.01,1,1
41,0.013,1,1
42,0.017,1,1
43,0.024,1,1
44,0.036,1,1
45,0.042,1,1
46,0.053,1,1
47,0.065,1,1
48,0.075,1,1
49,0.089,1,1
50,0.098,1,1
51,0.115,1,1
52,0.132,1,1
53,0.15,1,1
54,0.168,1,1
55,0.186,1,1
56,0.216,1,1
57,0.238,1,1
58,0.264,1,1
59,0.282,1,1
60,0.3,1,1
61,0.329,1,1
62,0.347,1,1
63,0.362,1,1
64,0.38,1,1
65,0.4,1,1
66,0.422,1,1
67,0.436,1,1
68,0.454,1,1
69,0.473,1,1
70,0.489,1,1
71,0.504,1,1
72,0.522,1,1
73,0.537,1,1
74,0.551,1,1
75,0.56,1,1
76,0.574,1,1
77,0.588,1,1
78,0.605,1,1
79,0.619,1,1
80,0.631,1,1
81,0.641,1,1
82,0.648,1,1
83,0.654,1,1
84,0.665,1,1
85,0.679,1,1
86,0.689,1,1
87,0.697,1,1
88,0.707,1,1
89,0.72,1,1
90,0.73,1,1
91,0.738,1,1
92,0.748,1,1
93,0.754,1,1
94,0.762,1,1
95,0.765,1,1
96,0.773,1,1
97,0.779,1,1
98,0.784,1,1
99,0.794,1,1
100,0.802,1,1
101,0.812,1,1
102,0.821,1,1
103,0.828,1,1
104,0.832,1,1
105,0.84,1,1
106,0.845,1,1
107,0.85,1,1
108,0.851,1,1
109,0.853,1,1
110,0.857,1,1
111,0.862,1,1
112,0.866,1,1
113,0.868,1,1
114,0.873,1,1
115,0.876,1,1
116,0.88,1,1
117,0.883,1,1
118,0.886,1,1
119,0.89,1,1
120,0.892,1,1
121,0.893,1,1
122,0.894,1,1
123,0.896,1,1
124,0.9,1,1
125,0.905,1,1
126,0.905,1,1
127,0.907,1,1
128,0.91,1,1
129,0.914,1,1
130,0.916,1,1
131,0.918,1,1
132,0.918,1,1
133,0.922,1,1
134,0.923,1,1
135,0.925,1,1
136,0.927,1,1
137,0.927,1,1
138,0.93,1,1
139,0.933,1,1
140,0.935,1,1
141,0.935,1,1
142,0.936,1,1
143,0.938,1,1
144,0.939,1,1
145,0.943,1,1
146,0.944,1,1
147,0.945,1,1
148,0.945,1,1
149,0.945,1,1
150,0.946,1,1
