sigma,typeI,typeI_o,typeI_oc
1,0.06,0.004,0.004
2,0.06,0.004,0.004
3,0.06,0.004,0.004
4,0.06,0.004,0.004
5,0.06,0.004,0.004
6,0.06,0.004,0.004
7,0.06,0.004,0.004
8,0.06,0.004,0.004
9,0.06,0.004,0.004
10,0.06,0.004,0.004
11,0.06,0.004,0.004
12,0.06,0.004,0.004
13,0.06,0.004,0.004
14,0.06,0.004,0.004
15,0.06,0.004,0.004
16,0.06,0.004,0.004
17,0.059,0.004,0.004
18,0.059,0.004,0.004
19,0.057,0.003,0.003
20,0.057,0.003,0.003
21,0.057,0.003,0.003
22,0.056,0.003,0.003
23,0.054,0.003,0.003
24,0.05,0.003,0.003
25,0.05,0.003,0.003
26,0.049,0.003,0.003
27,0.048,0.003,0.003
28,0.045,0.003,0.003
29,0.044,0.003,0.003
30,0.041,0.003,0.003
31,0.039,0.003,0.003
32,0.037,0.003,0.003
33,0.037,0.003,0.003
34,0.037,0.003,0.003
35,0.037,0.003,0.003
36,0.034,0.003,0.003
37,0.033,0.003,0.003
38,0.033,0.003,0.003
39,0.033,0.003,0.003
40,0.031,0.003,0.003
41,0.03,0.003,0.003
42,0.03,0.003,0.003
43,0.03,0.003,0.003
44,0.03,0.003,0.003
45,0.03,0.003,0.003
46,0.03,0.003,0.003
47,0.03,0.003,0.003
48,0.029,0.003,0.003
49,0.029,0.003,0.003
50,0.029,0.003,0.003
51,0.029,0.003,0.003
52,0.029,0.003,0.003
53,0.029,0.003,0.003
54,0.028,0.003,0.003
55,0.028,0.003,0.003
56,0.028,0.003,0.003
57,0.028,0.003,0.003
58,0.028,0.003,0.003
59,0.028,0.003,0.003
60,0.027,0.003,0.003
61,0.027,0.003,0.003
62,0.026,0.003,0.003
63,0.026,0.002,0.002
64,0.026,0.002,0.002
65,0.027,0.002,0.002
66,0.027,0.002,0.002
67,0.027,0.002,0.002
68,0.027,0.001,0.001
69,0.027,0.001,0.001
70,0.027,0.001,0.001
71,0.027,0.001,0.001
72,0.027,0,0
73,0.027,0,0
74,0.027,0,0
75,0.027,0,0
76,0.026,0,0
77,0.026,0,0
78,0.026,0,0
79,0.026,0,0
80,0.025,0,0
81,0.025,0,0
82,0.024,0,0
83,0.024,0,0
84,0.024,0,0
85,0.023,0,0
86,0.022,0,0
87,0.022,0,0
88,0.022,0,0
89,0.022,0,0
90,0.022,0,0
91,0.022,0,0
92,0.022,0,0
93,0.022,0,0
94,0.023,0,0
95,0.023,0,0
96,0.023,0,0
97,0.023,0,0
98,0.023,0,0
99,0.023,0,0
100,0.023,0,0
101,0.024,0,0
102,0.024,0,0
103,0.024,0,0
104,0.024,0,0
105,0.023,0,0
106,0.023,0,0
107,0.022,0,0
108,0.022,0,0
109,0.022,0,0
110,0.022,0,0
111,0.022,0,0
112,0.022,0,0
113,0.021,0,0
114,0.021,0,0
115,0.02,0,0
116,0.02,0,0
117,0.02,0,0
118,0.02,0,0
119,0.02,0,0
120,0.02,0,0
121,0.02,0,0
122,0.02,0,0
123,0.02,0,0
124,0.02,0,0
125,0.02,0,0
126,0.02,0,0
127,0.02,0,0
128,0.02,0,0
129,0.02,0,0
130,0.02,0,0
131,0.02,0,0
132,0.02,0,0
133,0.02,0,0
134,0.02,0,0
135,0.02,0,0
136,0.02,0,0
137,0.02,0,0
138,0.02,0,0
139,0.02,0,0
140,0.021,0,0
141,0.021,0,0
142,0.021,0,0
143,0.022,0,0
144,0.022,0,0
145,0.022,0,0
146,0.022,0,0
147,0.022,0,0
148,0.022,0,0
149,0.022,0,0
150,0.022,0,0
