sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0.001,0.001,0
45,0.001,0.001,0
46,0.005,0.005,0
47,0.006,0.006,0
48,0.008,0.009,0
49,0.009,0.013,0
50,0.013,0.021,0.001
51,0.015,0.03,0.001
52,0.015,0.036,0.001
53,0.018,0.052,0.007
54,0.022,0.078,0.018
55,0.028,0.104,0.026
56,0.03,0.138,0.047
57,0.034,0.195,0.084
58,0.042,0.244,0.127
59,0.053,0.29,0.178
60,0.062,0.36,0.26
61,0.071,0.424,0.316
62,0.077,0.482,0.39
63,0.084,0.542,0.471
64,0.091,0.616,0.55
65,0.099,0.691,0.639
66,0.105,0.755,0.715
67,0.111,0.798,0.778
68,0.12,0.834,0.825
69,0.134,0.867,0.863
70,0.143,0.896,0.891
71,0.153,0.915,0.913
72,0.161,0.932,0.932
73,0.171,0.952,0.952
74,0.176,0.965,0.965
75,0.184,0.97,0.97
76,0.19,0.978,0.978
77,0.202,0.983,0.983
78,0.212,0.989,0.989
79,0.223,0.989,0.989
80,0.233,0.991,0.991
81,0.243,0.995,0.995
82,0.25,0.996,0.996
83,0.266,0.999,0.999
84,0.275,0.999,0.999
85,0.282,1,1
86,0.293,1,1
87,0.297,1,1
88,0.306,1,1
89,0.318,1,1
90,0.332,1,1
91,0.338,1,1
92,0.343,1,1
93,0.355,1,1
94,0.366,1,1
95,0.378,1,1
96,0.388,1,1
97,0.397,1,1
98,0.404,1,1
99,0.407,1,1
100,0.422,1,1
101,0.437,1,1
102,0.444,1,1
103,0.453,1,1
104,0.463,1,1
105,0.47,1,1
106,0.477,1,1
107,0.486,1,1
108,0.494,1,1
109,0.498,1,1
110,0.51,1,1
111,0.514,1,1
112,0.521,1,1
113,0.528,1,1
114,0.537,1,1
115,0.544,1,1
116,0.545,1,1
117,0.551,1,1
118,0.557,1,1
119,0.563,1,1
120,0.566,1,1
121,0.574,1,1
122,0.578,1,1
123,0.582,1,1
124,0.587,1,1
125,0.594,1,1
126,0.603,1,1
127,0.604,1,1
128,0.609,1,1
129,0.61,1,1
130,0.613,1,1
131,0.614,1,1
132,0.624,1,1
133,0.633,1,1
134,0.641,1,1
135,0.644,1,1
136,0.649,1,1
137,0.653,1,1
138,0.656,1,1
139,0.665,1,1
140,0.67,1,1
141,0.672,1,1
142,0.675,1,1
143,0.682,1,1
144,0.686,1,1
145,0.687,1,1
146,0.691,1,1
147,0.694,1,1
148,0.701,1,1
149,0.705,1,1
150,0.708,1,1
