sigma,typeI,typeI_o,typeI_oc
1,0.68,0,0
2,0.68,0,0
3,0.68,0,0
4,0.68,0,0
5,0.68,0,0
6,0.68,0,0
7,0.68,0,0
8,0.68,0,0
9,0.68,0,0
10,0.68,0,0
11,0.68,0,0
12,0.68,0,0
13,0.68,0,0
14,0.68,0,0
15,0.68,0,0
16,0.68,0,0
17,0.68,0,0
18,0.68,0,0
19,0.68,0,0
20,0.68,0,0
21,0.68,0,0
22,0.68,0,0
23,0.68,0,0
24,0.68,0,0
25,0.68,0,0
26,0.68,0,0
27,0.68,0,0
28,0.679,0,0
29,0.678,0,0
30,0.677,0,0
31,0.676,0,0
32,0.676,0,0
33,0.675,0,0
34,0.674,0,0
35,0.674,0,0
36,0.671,0,0
37,0.67,0,0
38,0.669,0,0
39,0.666,0,0
40,0.665,0,0
41,0.662,0,0
42,0.659,0,0
43,0.654,0,0
44,0.654,0,0
45,0.65,0,0
46,0.65,0,0
47,0.65,0,0
48,0.647,0,0
49,0.645,0,0
50,0.643,0,0
51,0.639,0,0
52,0.639,0,0
53,0.635,0,0
54,0.632,0,0
55,0.632,0,0
56,0.63,0,0
57,0.628,0,0
58,0.626,0,0
59,0.619,0,0
60,0.616,0,0
61,0.61,0,0
62,0.608,0,0
63,0.605,0,0
64,0.602,0,0
65,0.599,0,0
66,0.594,0,0
67,0.59,0,0
68,0.589,0,0
69,0.586,0,0
70,0.581,0,0
71,0.579,0,0
72,0.576,0,0
73,0.574,0,0
74,0.573,0,0
75,0.568,0,0
76,0.567,0,0
77,0.566,0,0
78,0.564,0,0
79,0.563,0,0
80,0.561,0,0
81,0.56,0,0
82,0.559,0,0
83,0.559,0,0
84,0.556,0,0
85,0.554,0,0
86,0.552,0,0
87,0.552,0,0
88,0.553,0,0
89,0.554,0,0
90,0.554,0,0
91,0.552,0,0
92,0.551,0,0
93,0.551,0,0
94,0.549,0,0
95,0.549,0,0
96,0.549,0,0
97,0.547,0,0
98,0.547,0,0
99,0.548,0,0
100,0.546,0,0
101,0.546,0,0
102,0.545,0,0
103,0.545,0,0
104,0.545,0,0
105,0.545,0,0
106,0.546,0,0
107,0.545,0,0
108,0.547,0,0
109,0.545,0,0
110,0.546,0,0
111,0.546,0,0
112,0.546,0,0
113,0.545,0,0
114,0.544,0,0
115,0.541,0,0
116,0.541,0,0
117,0.539,0,0
118,0.538,0,0
119,0.537,0,0
120,0.537,0,0
121,0.538,0,0
122,0.539,0,0
123,0.538,0,0
124,0.537,0,0
125,0.537,0,0
126,0.534,0,0
127,0.534,0,0
128,0.534,0,0
129,0.533,0,0
130,0.533,0,0
131,0.532,0,0
132,0.531,0,0
133,0.53,0,0
134,0.53,0,0
135,0.529,0,0
136,0.53,0,0
137,0.529,0,0
138,0.529,0,0
139,0.529,0,0
140,0.529,0,0
141,0.526,0,0
142,0.525,0,0
143,0.524,0,0
144,0.524,0,0
145,0.524,0,0
146,0.524,0,0
147,0.523,0,0
148,0.524,0,0
149,0.523,0,0
150,0.522,0,0
