sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0.001,0
42,0,0.006,0.004
43,0,0.015,0.009
44,0,0.035,0.019
45,0,0.065,0.045
46,0,0.126,0.086
47,0,0.216,0.166
48,0,0.36,0.298
49,0,0.546,0.485
50,0,0.711,0.674
51,0,0.829,0.804
52,0,0.924,0.906
53,0,0.977,0.972
54,0.001,0.993,0.991
55,0.001,0.998,0.997
56,0.001,1,1
57,0.002,1,1
58,0.003,1,1
59,0.003,1,1
60,0.005,1,1
61,0.006,1,1
62,0.006,1,1
63,0.008,1,1
64,0.008,1,1
65,0.01,1,1
66,0.012,1,1
67,0.013,1,1
68,0.015,1,1
69,0.015,1,1
70,0.02,1,1
71,0.022,1,1
72,0.024,1,1
73,0.028,1,1
74,0.032,1,1
75,0.038,1,1
76,0.041,1,1
77,0.041,1,1
78,0.045,1,1
79,0.045,1,1
80,0.047,1,1
81,0.048,1,1
82,0.048,1,1
83,0.053,1,1
84,0.056,1,1
85,0.06,1,1
86,0.061,1,1
87,0.067,1,1
88,0.067,1,1
89,0.071,1,1
90,0.073,1,1
91,0.079,1,1
92,0.081,1,1
93,0.084,1,1
94,0.088,1,1
95,0.089,1,1
96,0.089,1,1
97,0.093,1,1
98,0.098,1,1
99,0.105,1,1
100,0.109,1,1
101,0.115,1,1
102,0.117,1,1
103,0.119,1,1
104,0.118,1,1
105,0.124,1,1
106,0.129,1,1
107,0.131,1,1
108,0.132,1,1
109,0.14,1,1
110,0.145,1,1
111,0.15,1,1
112,0.152,1,1
113,0.157,1,1
114,0.162,1,1
115,0.162,1,1
116,0.164,1,1
117,0.171,1,1
118,0.179,1,1
119,0.183,1,1
120,0.184,1,1
121,0.19,1,1
122,0.193,1,1
123,0.193,1,1
124,0.196,1,1
125,0.2,1,1
126,0.205,1,1
127,0.209,1,1
128,0.211,1,1
129,0.219,1,1
130,0.222,1,1
131,0.226,1,1
132,0.225,1,1
133,0.227,1,1
134,0.227,1,1
135,0.229,1,1
136,0.237,1,1
137,0.239,1,1
138,0.24,1,1
139,0.245,1,1
140,0.246,1,1
141,0.247,1,1
142,0.252,1,1
143,0.256,1,1
144,0.259,1,1
145,0.259,1,1
146,0.261,1,1
147,0.264,1,1
148,0.269,1,1
149,0.269,1,1
150,0.271,1,1
