sigma,typeII,typeII_o,typeII_oc
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0.001,0.001,0.001
24,0.002,0.002,0.002
25,0.005,0.005,0.005
26,0.008,0.008,0.008
27,0.009,0.009,0.009
28,0.011,0.011,0.011
29,0.014,0.014,0.014
30,0.02,0.02,0.02
31,0.03,0.03,0.03
32,0.036,0.036,0.036
33,0.043,0.043,0.043
34,0.058,0.058,0.058
35,0.071,0.071,0.071
36,0.085,0.086,0.086
37,0.097,0.102,0.102
38,0.11,0.12,0.12
39,0.125,0.141,0.141
40,0.133,0.16,0.16
41,0.148,0.186,0.186
42,0.161,0.214,0.214
43,0.173,0.24,0.24
44,0.19,0.285,0.285
45,0.208,0.327,0.327
46,0.222,0.364,0.364
47,0.236,0.411,0.411
48,0.253,0.461,0.461
49,0.264,0.505,0.505
50,0.276,0.551,0.551
51,0.29,0.592,0.592
52,0.304,0.65,0.65
53,0.317,0.694,0.694
54,0.331,0.738,0.738
55,0.345,0.781,0.781
56,0.363,0.822,0.822
57,0.376,0.848,0.848
58,0.382,0.869,0.869
59,0.395,0.895,0.895
60,0.406,0.911,0.911
61,0.417,0.925,0.925
62,0.425,0.941,0.941
63,0.435,0.954,0.954
64,0.444,0.968,0.968
65,0.456,0.974,0.974
66,0.463,0.981,0.981
67,0.475,0.985,0.985
68,0.49,0.989,0.989
69,0.498,0.992,0.992
70,0.506,0.993,0.993
71,0.515,0.997,0.997
72,0.526,0.998,0.998
73,0.534,0.998,0.998
74,0.543,0.999,0.999
75,0.556,0.999,0.999
76,0.569,0.999,0.999
77,0.579,0.999,0.999
78,0.582,0.999,0.999
79,0.587,1,1
80,0.596,1,1
81,0.598,1,1
82,0.605,1,1
83,0.61,1,1
84,0.613,1,1
85,0.624,1,1
86,0.635,1,1
87,0.641,1,1
88,0.645,1,1
89,0.652,1,1
90,0.656,1,1
91,0.662,1,1
92,0.67,1,1
93,0.672,1,1
94,0.676,1,1
95,0.68,1,1
96,0.685,1,1
97,0.688,1,1
98,0.694,1,1
99,0.702,1,1
100,0.704,1,1
101,0.708,1,1
102,0.713,1,1
103,0.719,1,1
104,0.726,1,1
105,0.731,1,1
106,0.736,1,1
107,0.736,1,1
108,0.738,1,1
109,0.739,1,1
110,0.74,1,1
111,0.743,1,1
112,0.743,1,1
113,0.743,1,1
114,0.747,1,1
115,0.749,1,1
116,0.753,1,1
117,0.758,1,1
118,0.761,1,1
119,0.763,1,1
120,0.764,1,1
121,0.765,1,1
122,0.765,1,1
123,0.77,1,1
124,0.774,1,1
125,0.776,1,1
126,0.779,1,1
127,0.779,1,1
128,0.779,1,1
129,0.781,1,1
130,0.784,1,1
131,0.785,1,1
132,0.785,1,1
133,0.787,1,1
134,0.789,1,1
135,0.791,1,1
136,0.792,1,1
137,0.793,1,1
138,0.796,1,1
139,0.797,1,1
140,0.799,1,1
141,0.797,1,1
142,0.799,1,1
143,0.8,1,1
144,0.801,1,1
145,0.803,1,1
146,0.804,1,1
147,0.804,1,1
148,0.807,1,1
149,0.807,1,1
150,0.809,1,1
