sigma,probtypeII
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1.7671e-06
23,1.7671e-06
24,1.7671e-06
25,3.5342e-06
26,3.5342e-06
27,3.5342e-06
28,3.5342e-06
29,1.7671e-05
30,1.9438e-05
31,2.8274e-05
32,4.4177e-05
33,4.9479e-05
34,6.3615e-05
35,9.0122e-05
36,0.00010603
37,0.00015374
38,0.00021735
39,0.00032515
40,0.00042764
41,0.00064676
42,0.00091712
43,0.0013024
44,0.0017759
45,0.0024474
46,0.0032709
47,0.0043276
48,0.0055222
49,0.0070931
50,0.0089786
51,0.011182
52,0.013663
53,0.016805
54,0.020016
55,0.023948
56,0.02841
57,0.03355
58,0.039336
59,0.045764
60,0.053154
61,0.061043
62,0.069556
63,0.079028
64,0.089293
65,0.10073
66,0.11291
67,0.12594
68,0.13936
69,0.15405
70,0.16903
71,0.18447
72,0.20116
73,0.21889
74,0.23673
75,0.25556
76,0.27434
77,0.29374
78,0.31372
79,0.33339
80,0.35336
81,0.37336
82,0.39333
83,0.41377
84,0.43456
85,0.45465
86,0.47463
87,0.49473
88,0.51422
89,0.53361
90,0.55208
91,0.57039
92,0.58838
93,0.60627
94,0.62267
95,0.6394
96,0.65562
97,0.67011
98,0.6844
99,0.69911
100,0.71356
101,0.72748
102,0.74087
103,0.75346
104,0.76499
105,0.77631
106,0.78795
107,0.79841
108,0.80891
109,0.81859
110,0.82772
111,0.83662
112,0.84534
113,0.85248
114,0.85917
115,0.86601
116,0.87269
117,0.87907
118,0.88491
119,0.89048
120,0.89634
121,0.90135
122,0.90591
123,0.90996
124,0.91461
125,0.91879
126,0.92249
127,0.92647
128,0.93029
129,0.93328
130,0.93617
131,0.93876
132,0.9413
133,0.94393
134,0.94637
135,0.94855
136,0.95102
137,0.95299
138,0.95529
139,0.95756
140,0.9597
141,0.96175
142,0.96361
143,0.96518
144,0.96664
145,0.96811
146,0.9694
147,0.97059
148,0.9718
149,0.97308
150,0.97399
