sigma,probtypeII
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1.7671e-06
24,3.5342e-06
25,8.8355e-06
26,1.237e-05
27,1.7671e-05
28,2.6506e-05
29,3.3575e-05
30,4.4177e-05
31,6.715e-05
32,8.1286e-05
33,9.3656e-05
34,0.00011133
35,0.00014667
36,0.00018555
37,0.00023326
38,0.00028804
39,0.00035695
40,0.00043824
41,0.00056194
42,0.00078636
43,0.001009
44,0.0013571
45,0.0017265
46,0.002269
47,0.0030058
48,0.0037675
49,0.0049938
50,0.0062608
51,0.0081004
52,0.010161
53,0.012896
54,0.015667
55,0.019807
56,0.024377
57,0.030415
58,0.037224
59,0.046176
60,0.056058
61,0.068148
62,0.081304
63,0.096681
64,0.11565
65,0.13599
66,0.15969
67,0.18444
68,0.21138
69,0.2404
70,0.26996
71,0.30106
72,0.33284
73,0.36731
74,0.40078
75,0.43514
76,0.46772
77,0.50115
78,0.53182
79,0.56181
80,0.59086
81,0.61722
82,0.64319
83,0.66997
84,0.69299
85,0.71578
86,0.73641
87,0.75707
88,0.77594
89,0.79326
90,0.80867
91,0.82354
92,0.83706
93,0.85018
94,0.86175
95,0.87284
96,0.88258
97,0.89247
98,0.90035
99,0.90782
100,0.91551
101,0.9227
102,0.92875
103,0.93404
104,0.93985
105,0.94451
106,0.94873
107,0.9529
108,0.9565
109,0.96009
110,0.96308
111,0.96583
112,0.96871
113,0.97129
114,0.97328
115,0.97525
116,0.97704
117,0.97875
118,0.98013
119,0.98164
120,0.98275
121,0.98388
122,0.985
123,0.98602
124,0.98716
125,0.98841
126,0.98929
127,0.99003
128,0.99089
129,0.99141
130,0.99198
131,0.99246
132,0.99299
133,0.99345
134,0.99386
135,0.99421
136,0.9946
137,0.99485
138,0.99527
139,0.99557
140,0.9959
141,0.99614
142,0.99636
143,0.99654
144,0.99673
145,0.99695
146,0.99709
147,0.99727
148,0.99737
149,0.99754
150,0.99767
