sigma,probtypeII
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1.5867e-07
26,3.1734e-07
27,4.7601e-07
28,1.1107e-06
29,1.2694e-06
30,1.904e-06
31,2.5387e-06
32,3.0147e-06
33,3.9667e-06
34,4.6014e-06
35,6.0294e-06
36,7.1401e-06
37,8.5682e-06
38,9.3615e-06
39,1.3646e-05
40,1.6026e-05
41,2.031e-05
42,2.4752e-05
43,3.3003e-05
44,4.776e-05
45,6.0929e-05
46,8.0604e-05
47,0.00010805
48,0.00015296
49,0.00020881
50,0.00027704
51,0.00035955
52,0.0004695
53,0.00063611
54,0.00082461
55,0.0010602
56,0.0013763
57,0.0017811
58,0.0022831
59,0.0030057
60,0.0038306
61,0.0048623
62,0.0060824
63,0.0077555
64,0.0098123
65,0.012384
66,0.015682
67,0.019665
68,0.024535
69,0.030526
70,0.037442
71,0.045603
72,0.055399
73,0.066737
74,0.079492
75,0.09377
76,0.10962
77,0.12669
78,0.14523
79,0.16486
80,0.18585
81,0.2078
82,0.2307
83,0.25474
84,0.27939
85,0.30468
86,0.32997
87,0.35527
88,0.38066
89,0.40608
90,0.4311
91,0.45556
92,0.47931
93,0.50284
94,0.52553
95,0.54779
96,0.56906
97,0.58978
98,0.61008
99,0.62928
100,0.6474
101,0.66531
102,0.68242
103,0.69858
104,0.71425
105,0.7292
106,0.74322
107,0.75639
108,0.76932
109,0.78123
110,0.79285
111,0.80342
112,0.81373
113,0.82323
114,0.83241
115,0.84097
116,0.84927
117,0.85707
118,0.8644
119,0.8713
120,0.87792
121,0.88414
122,0.89004
123,0.8957
124,0.90117
125,0.9062
126,0.911
127,0.91553
128,0.91972
129,0.92368
130,0.92743
131,0.93097
132,0.93433
133,0.93746
134,0.94031
135,0.94319
136,0.94582
137,0.94843
138,0.95083
139,0.95318
140,0.95546
141,0.95753
142,0.95956
143,0.9615
144,0.96326
145,0.96496
146,0.96658
147,0.96814
148,0.96956
149,0.97092
150,0.97221
