sigma,probtypeI
1,0.076592
2,0.076592
3,0.076592
4,0.076592
5,0.076592
6,0.076592
7,0.076592
8,0.076592
9,0.076592
10,0.076592
11,0.076592
12,0.076592
13,0.076592
14,0.076592
15,0.076592
16,0.076592
17,0.076592
18,0.076591
19,0.07659
20,0.076587
21,0.076583
22,0.076571
23,0.076556
24,0.076534
25,0.076508
26,0.076475
27,0.076445
28,0.076405
29,0.076357
30,0.076315
31,0.076265
32,0.076226
33,0.076182
34,0.076136
35,0.076099
36,0.076058
37,0.076019
38,0.075979
39,0.075936
40,0.075897
41,0.075858
42,0.07583
43,0.075795
44,0.075765
45,0.075738
46,0.075715
47,0.075688
48,0.075663
49,0.075639
50,0.075621
51,0.075595
52,0.075577
53,0.075555
54,0.07554
55,0.075522
56,0.075505
57,0.075489
58,0.075476
59,0.075463
60,0.075452
61,0.075437
62,0.075425
63,0.075411
64,0.0754
65,0.075388
66,0.075379
67,0.075369
68,0.075359
69,0.075347
70,0.075335
71,0.075326
72,0.075318
73,0.075309
74,0.075301
75,0.075294
76,0.075283
77,0.075276
78,0.07527
79,0.075266
80,0.07526
81,0.075253
82,0.075247
83,0.075238
84,0.075233
85,0.07523
86,0.075225
87,0.075219
88,0.075212
89,0.075208
90,0.075203
91,0.075198
92,0.075194
93,0.075189
94,0.075182
95,0.075179
96,0.075177
97,0.075171
98,0.075167
99,0.075162
100,0.075158
101,0.075154
102,0.07515
103,0.075144
104,0.075143
105,0.075141
106,0.075138
107,0.075137
108,0.075131
109,0.075128
110,0.075127
111,0.075122
112,0.075121
113,0.075121
114,0.075118
115,0.075116
116,0.075114
117,0.075111
118,0.075107
119,0.075103
120,0.075101
121,0.0751
122,0.075097
123,0.075092
124,0.075091
125,0.075087
126,0.075085
127,0.075083
128,0.07508
129,0.075076
130,0.075074
131,0.075073
132,0.075071
133,0.07507
134,0.075067
135,0.075065
136,0.075063
137,0.075063
138,0.075062
139,0.07506
140,0.075059
141,0.075058
142,0.075055
143,0.075053
144,0.075051
145,0.075051
146,0.07505
147,0.075048
148,0.075047
149,0.075045
150,0.075044
