sigma,probtypeI
1,1.727e-05
2,1.727e-05
3,1.727e-05
4,1.727e-05
5,1.727e-05
6,1.727e-05
7,1.727e-05
8,1.727e-05
9,1.727e-05
10,1.727e-05
11,1.727e-05
12,1.727e-05
13,1.727e-05
14,1.727e-05
15,1.727e-05
16,1.727e-05
17,1.727e-05
18,1.727e-05
19,1.707e-05
20,1.667e-05
21,1.627e-05
22,1.607e-05
23,1.607e-05
24,1.607e-05
25,1.527e-05
26,1.487e-05
27,1.427e-05
28,1.367e-05
29,1.3269e-05
30,1.2269e-05
31,1.1869e-05
32,1.1669e-05
33,1.1002e-05
34,1.0669e-05
35,1.0002e-05
36,9.8021e-06
37,9.3353e-06
38,8.9352e-06
39,8.5352e-06
40,8.4685e-06
41,8.1351e-06
42,7.935e-06
43,7.935e-06
44,7.935e-06
45,7.8683e-06
46,7.8683e-06
47,7.6683e-06
48,7.4683e-06
49,7.4683e-06
50,7.2682e-06
51,7.0682e-06
52,7.0682e-06
53,7.0682e-06
54,6.6681e-06
55,6.6681e-06
56,6.468e-06
57,6.068e-06
58,5.6679e-06
59,5.4678e-06
60,5.2678e-06
61,5.0677e-06
62,5.0677e-06
63,4.801e-06
64,4.601e-06
65,4.4009e-06
66,4.4009e-06
67,4.4009e-06
68,4.2009e-06
69,4.2009e-06
70,4.0009e-06
71,4.0009e-06
72,3.6008e-06
73,3.4007e-06
74,3.4007e-06
75,3.0006e-06
76,3.0006e-06
77,3.0006e-06
78,3.0006e-06
79,3.2007e-06
80,3.2007e-06
81,3.0006e-06
82,2.6006e-06
83,2.0004e-06
84,1.8004e-06
85,1.4003e-06
86,1.4003e-06
87,1.4003e-06
88,1.4003e-06
89,1.4003e-06
90,1.2003e-06
91,1.0002e-06
92,8.0017e-07
93,6.0013e-07
94,4.0009e-07
95,4.0009e-07
96,4.0009e-07
97,4.0009e-07
98,4.0009e-07
99,4.0009e-07
100,4.0009e-07
101,4.0009e-07
102,2.0004e-07
103,2.0004e-07
104,2.0004e-07
105,2.0004e-07
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
