sigma,probtypeI
1,0.025424
2,0.025424
3,0.025424
4,0.025424
5,0.025424
6,0.025424
7,0.025424
8,0.025424
9,0.025424
10,0.025424
11,0.025424
12,0.025424
13,0.025424
14,0.025424
15,0.025424
16,0.025424
17,0.025424
18,0.025424
19,0.025423
20,0.025421
21,0.025418
22,0.025415
23,0.025411
24,0.025407
25,0.025401
26,0.025396
27,0.025391
28,0.025386
29,0.025381
30,0.025376
31,0.025372
32,0.025368
33,0.025365
34,0.025361
35,0.025358
36,0.025354
37,0.025352
38,0.025349
39,0.025346
40,0.025344
41,0.025342
42,0.02534
43,0.025338
44,0.025336
45,0.025335
46,0.025333
47,0.025332
48,0.02533
49,0.025329
50,0.025328
51,0.025327
52,0.025326
53,0.025325
54,0.025324
55,0.025323
56,0.025322
57,0.02532
58,0.025319
59,0.025318
60,0.025318
61,0.025317
62,0.025316
63,0.025315
64,0.025315
65,0.025314
66,0.025313
67,0.025313
68,0.025312
69,0.025311
70,0.025311
71,0.02531
72,0.02531
73,0.025309
74,0.025308
75,0.025308
76,0.025307
77,0.025307
78,0.025306
79,0.025306
80,0.025306
81,0.025305
82,0.025305
83,0.025304
84,0.025304
85,0.025304
86,0.025303
87,0.025303
88,0.025303
89,0.025302
90,0.025302
91,0.025302
92,0.025301
93,0.025301
94,0.025301
95,0.025301
96,0.0253
97,0.0253
98,0.0253
99,0.0253
100,0.025299
101,0.025299
102,0.025299
103,0.025299
104,0.025298
105,0.025298
106,0.025298
107,0.025298
108,0.025298
109,0.025297
110,0.025297
111,0.025297
112,0.025297
113,0.025297
114,0.025297
115,0.025297
116,0.025296
117,0.025296
118,0.025296
119,0.025296
120,0.025296
121,0.025295
122,0.025295
123,0.025295
124,0.025295
125,0.025295
126,0.025295
127,0.025295
128,0.025294
129,0.025294
130,0.025294
131,0.025294
132,0.025294
133,0.025294
134,0.025294
135,0.025293
136,0.025293
137,0.025293
138,0.025293
139,0.025293
140,0.025293
141,0.025292
142,0.025292
143,0.025292
144,0.025292
145,0.025292
146,0.025292
147,0.025292
148,0.025292
149,0.025292
150,0.025292
