sigma,probtypeI
1,9.0979e-05
2,9.0979e-05
3,9.0979e-05
4,9.0979e-05
5,9.0979e-05
6,9.0979e-05
7,9.0979e-05
8,9.0979e-05
9,9.0979e-05
10,9.0979e-05
11,9.0979e-05
12,9.0979e-05
13,9.0979e-05
14,9.0979e-05
15,9.0979e-05
16,9.0979e-05
17,9.0979e-05
18,9.0979e-05
19,9.0877e-05
20,9.0759e-05
21,9.0354e-05
22,8.9932e-05
23,8.902e-05
24,8.7754e-05
25,8.6488e-05
26,8.4462e-05
27,8.2825e-05
28,8.0799e-05
29,7.8503e-05
30,7.6392e-05
31,7.4316e-05
32,7.1699e-05
33,6.9927e-05
34,6.8086e-05
35,6.574e-05
36,6.4085e-05
37,6.1874e-05
38,5.9746e-05
39,5.7535e-05
40,5.5982e-05
41,5.4597e-05
42,5.3382e-05
43,5.1727e-05
44,4.9769e-05
45,4.7929e-05
46,4.6815e-05
47,4.5684e-05
48,4.4147e-05
49,4.305e-05
50,4.1817e-05
51,4.0956e-05
52,3.9623e-05
53,3.8593e-05
54,3.7175e-05
55,3.5807e-05
56,3.5132e-05
57,3.3782e-05
58,3.2752e-05
59,3.2043e-05
60,3.1182e-05
61,3.0574e-05
62,2.9966e-05
63,2.8818e-05
64,2.7873e-05
65,2.6758e-05
66,2.6252e-05
67,2.5492e-05
68,2.4479e-05
69,2.3618e-05
70,2.2622e-05
71,2.1846e-05
72,2.0968e-05
73,2.0512e-05
74,1.9617e-05
75,1.8959e-05
76,1.8402e-05
77,1.7929e-05
78,1.7203e-05
79,1.6393e-05
80,1.5701e-05
81,1.5397e-05
82,1.4991e-05
83,1.4401e-05
84,1.3962e-05
85,1.3641e-05
86,1.3168e-05
87,1.2864e-05
88,1.2425e-05
89,1.2071e-05
90,1.1733e-05
91,1.148e-05
92,1.1007e-05
93,1.0535e-05
94,1.0113e-05
95,9.7242e-06
96,9.3697e-06
97,9.2684e-06
98,8.9476e-06
99,8.7282e-06
100,8.5762e-06
101,8.4749e-06
102,8.3736e-06
103,8.036e-06
104,7.8165e-06
105,7.749e-06
106,7.4789e-06
107,7.175e-06
108,7.0737e-06
109,6.7023e-06
110,6.5672e-06
111,6.4153e-06
112,6.3309e-06
113,6.1114e-06
114,6.0101e-06
115,5.8244e-06
116,5.7738e-06
117,5.6218e-06
118,5.5712e-06
119,5.5205e-06
120,5.4023e-06
121,5.4023e-06
122,5.3517e-06
123,5.301e-06
124,5.1998e-06
125,5.1491e-06
126,5.0985e-06
127,4.9972e-06
128,4.9972e-06
129,4.9972e-06
130,4.9972e-06
131,4.879e-06
132,4.7777e-06
133,4.7777e-06
134,4.7777e-06
135,4.6764e-06
136,4.6258e-06
137,4.6258e-06
138,4.4232e-06
139,4.4063e-06
140,4.3556e-06
141,4.3556e-06
142,4.2543e-06
143,4.153e-06
144,4.1024e-06
145,4.1024e-06
146,3.9842e-06
147,3.9842e-06
148,3.9336e-06
149,3.8323e-06
150,3.8323e-06
