sigma,probtypeI
1,1.0771e-05
2,1.0771e-05
3,1.0771e-05
4,1.0771e-05
5,1.0771e-05
6,1.0771e-05
7,1.0771e-05
8,1.0771e-05
9,1.0771e-05
10,1.0771e-05
11,1.0771e-05
12,1.0771e-05
13,1.0771e-05
14,1.0771e-05
15,1.0771e-05
16,1.0771e-05
17,1.0771e-05
18,1.072e-05
19,1.072e-05
20,1.0568e-05
21,1.0467e-05
22,1.0315e-05
23,1.0113e-05
24,9.9606e-06
25,9.6398e-06
26,9.3022e-06
27,8.8632e-06
28,8.4918e-06
29,8.1035e-06
30,7.4451e-06
31,7.023e-06
32,6.9386e-06
33,6.6347e-06
34,6.3646e-06
35,5.875e-06
36,5.6218e-06
37,5.4699e-06
38,5.166e-06
39,4.8452e-06
40,4.6933e-06
41,4.6933e-06
42,4.5413e-06
43,4.4907e-06
44,4.3388e-06
45,4.2206e-06
46,4.018e-06
47,3.9167e-06
48,3.7648e-06
49,3.6635e-06
50,3.5622e-06
51,3.4609e-06
52,3.3765e-06
53,3.2583e-06
54,3.157e-06
55,3.0051e-06
56,2.9038e-06
57,2.6505e-06
58,2.4479e-06
59,2.3973e-06
60,2.2285e-06
61,1.8908e-06
62,1.7895e-06
63,1.5869e-06
64,1.3337e-06
65,1.2831e-06
66,1.1818e-06
67,1.1311e-06
68,1.0298e-06
69,9.7917e-07
70,9.1164e-07
71,8.61e-07
72,8.61e-07
73,8.61e-07
74,8.61e-07
75,8.61e-07
76,8.61e-07
77,8.1035e-07
78,8.1035e-07
79,7.597e-07
80,7.597e-07
81,7.597e-07
82,7.0906e-07
83,6.5841e-07
84,6.5841e-07
85,6.0776e-07
86,5.0647e-07
87,5.0647e-07
88,5.0647e-07
89,5.0647e-07
90,4.5582e-07
91,4.5582e-07
92,4.5582e-07
93,4.5582e-07
94,4.5582e-07
95,4.5582e-07
96,4.5582e-07
97,4.0518e-07
98,4.0518e-07
99,4.0518e-07
100,3.5453e-07
101,3.5453e-07
102,3.5453e-07
103,3.0388e-07
104,3.0388e-07
105,3.0388e-07
106,3.0388e-07
107,3.0388e-07
108,3.0388e-07
109,3.0388e-07
110,3.0388e-07
111,3.0388e-07
112,3.0388e-07
113,3.0388e-07
114,3.0388e-07
115,3.0388e-07
116,3.0388e-07
117,3.0388e-07
118,3.0388e-07
119,2.5323e-07
120,2.5323e-07
121,2.5323e-07
122,2.5323e-07
123,2.5323e-07
124,2.5323e-07
125,2.5323e-07
126,2.5323e-07
127,2.5323e-07
128,2.5323e-07
129,1.5194e-07
130,1.5194e-07
131,1.5194e-07
132,1.5194e-07
133,1.5194e-07
134,1.5194e-07
135,1.5194e-07
136,1.5194e-07
137,1.5194e-07
138,1.5194e-07
139,1.5194e-07
140,1.5194e-07
141,1.5194e-07
142,1.5194e-07
143,1.5194e-07
144,1.5194e-07
145,1.5194e-07
146,1.5194e-07
147,1.5194e-07
148,1.5194e-07
149,1.5194e-07
150,1.5194e-07
