sigma,probtypeI
1,0.075476
2,0.075476
3,0.075476
4,0.075476
5,0.075476
6,0.075476
7,0.075476
8,0.075476
9,0.075476
10,0.075476
11,0.075476
12,0.075476
13,0.075476
14,0.075476
15,0.075476
16,0.075476
17,0.075476
18,0.075476
19,0.075476
20,0.075475
21,0.075474
22,0.075472
23,0.075468
24,0.075463
25,0.075457
26,0.075449
27,0.075441
28,0.075432
29,0.075422
30,0.075412
31,0.075401
32,0.075391
33,0.07538
34,0.075369
35,0.075359
36,0.07535
37,0.075341
38,0.075332
39,0.075322
40,0.075314
41,0.075305
42,0.075298
43,0.07529
44,0.075283
45,0.075276
46,0.07527
47,0.075264
48,0.075258
49,0.075252
50,0.075247
51,0.075242
52,0.075237
53,0.075233
54,0.075228
55,0.075224
56,0.07522
57,0.075216
58,0.075212
59,0.075209
60,0.075205
61,0.075202
62,0.075199
63,0.075196
64,0.075193
65,0.075191
66,0.075188
67,0.075186
68,0.075184
69,0.075181
70,0.075179
71,0.075176
72,0.075174
73,0.075172
74,0.07517
75,0.075169
76,0.075167
77,0.075165
78,0.075163
79,0.075162
80,0.07516
81,0.075159
82,0.075157
83,0.075155
84,0.075154
85,0.075153
86,0.075152
87,0.075151
88,0.075149
89,0.075148
90,0.075147
91,0.075146
92,0.075145
93,0.075144
94,0.075143
95,0.075142
96,0.075141
97,0.07514
98,0.075139
99,0.075138
100,0.075137
101,0.075137
102,0.075136
103,0.075135
104,0.075134
105,0.075134
106,0.075133
107,0.075132
108,0.075131
109,0.075131
110,0.07513
111,0.075129
112,0.075129
113,0.075128
114,0.075128
115,0.075127
116,0.075126
117,0.075125
118,0.075125
119,0.075124
120,0.075123
121,0.075123
122,0.075123
123,0.075122
124,0.075122
125,0.075121
126,0.075121
127,0.07512
128,0.07512
129,0.075119
130,0.075119
131,0.075119
132,0.075118
133,0.075118
134,0.075117
135,0.075117
136,0.075116
137,0.075116
138,0.075116
139,0.075115
140,0.075115
141,0.075115
142,0.075114
143,0.075114
144,0.075113
145,0.075113
146,0.075113
147,0.075112
148,0.075112
149,0.075112
150,0.075111
