sigma,lowerBound,upperBound
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,1.6e-05
16,0,8.4e-05
17,0,0.000442
18,0,0.0015
19,0,0.004052
20,0,0.00912
21,0,0.01821
22,0,0.032844
23,0,0.05355
24,0,0.081272
25,0,0.11669
26,0,0.15901
27,0,0.20795
28,0,0.26165
29,2e-06,0.31962
30,8e-06,0.38085
31,1.8e-05,0.44443
32,4.2e-05,0.5093
33,0.000105,0.57414
34,0.000221,0.6387
35,0.000434,0.70255
36,0.00075,0.76418
37,0.001251,0.82462
38,0.002026,0.88243
39,0.0031,0.93821
40,0.00456,0.99133
41,0.006605,1
42,0.009105,1
43,0.012404,1
44,0.016422,1
45,0.021219,1
46,0.026775,1
47,0.033196,1
48,0.040636,1
49,0.04905,1
50,0.058343,1
51,0.068482,1
52,0.079507,1
53,0.091354,1
54,0.10398,1
55,0.11718,1
56,0.13083,1
57,0.14504,1
58,0.15981,1
59,0.17482,1
60,0.19043,1
61,0.20619,1
62,0.22222,1
63,0.23848,1
64,0.25465,1
65,0.27093,1
66,0.28707,1
67,0.30322,1
68,0.31935,1
69,0.33543,1
70,0.35127,1
71,0.36665,1
72,0.38209,1
73,0.39724,1
74,0.41231,1
75,0.42685,1
76,0.44121,1
77,0.45542,1
78,0.46911,1
79,0.48246,1
80,0.49567,1
81,0.50839,1
82,0.52092,1
83,0.53289,1
84,0.54463,1
85,0.55632,1
86,0.56776,1
87,0.57843,1
88,0.5892,1
89,0.59948,1
90,0.6094,1
91,0.61909,1
92,0.62843,1
93,0.63733,1
94,0.64614,1
95,0.65471,1
96,0.66304,1
97,0.67107,1
98,0.67895,1
99,0.68652,1
100,0.69384,1
101,0.70107,1
102,0.70809,1
103,0.71486,1
104,0.72144,1
105,0.72778,1
106,0.73393,1
107,0.73996,1
108,0.7458,1
109,0.75126,1
110,0.75661,1
111,0.76193,1
112,0.76706,1
113,0.77196,1
114,0.77675,1
115,0.78149,1
116,0.786,1
117,0.79036,1
118,0.79464,1
119,0.79874,1
120,0.8028,1
121,0.80672,1
122,0.81056,1
123,0.8143,1
124,0.81794,1
125,0.82138,1
126,0.82482,1
127,0.82801,1
128,0.83116,1
129,0.83432,1
130,0.83731,1
131,0.84032,1
132,0.84328,1
133,0.84604,1
134,0.84873,1
135,0.85137,1
136,0.854,1
137,0.8566,1
138,0.85909,1
139,0.86138,1
140,0.86369,1
141,0.86606,1
142,0.86825,1
143,0.87039,1
144,0.87253,1
145,0.87454,1
146,0.87648,1
147,0.87846,1
148,0.88037,1
149,0.88224,1
150,0.88408,1
