sigma,typeII,typeII_o,typeII_c,typeII_oc
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0.004,0,0,0
46,0.006,0,0,0
47,0.011,0,0,0
48,0.019,0,0,0.001
49,0.024,0.001,0.001,0.001
50,0.028,0.005,0.001,0.001
51,0.029,0.009,0.001,0.002
52,0.032,0.011,0.002,0.002
53,0.036,0.018,0.003,0.004
54,0.044,0.023,0.003,0.007
55,0.053,0.027,0.004,0.01
56,0.059,0.033,0.006,0.015
57,0.066,0.034,0.007,0.022
58,0.079,0.038,0.009,0.036
59,0.089,0.041,0.017,0.053
60,0.101,0.048,0.021,0.076
61,0.108,0.061,0.027,0.107
62,0.122,0.074,0.035,0.143
63,0.132,0.083,0.044,0.167
64,0.153,0.098,0.059,0.211
65,0.169,0.107,0.069,0.248
66,0.183,0.121,0.082,0.279
67,0.195,0.14,0.101,0.33
68,0.212,0.155,0.114,0.365
69,0.222,0.176,0.136,0.41
70,0.231,0.193,0.153,0.443
71,0.238,0.214,0.18,0.492
72,0.247,0.237,0.194,0.528
73,0.259,0.258,0.216,0.574
74,0.275,0.279,0.235,0.609
75,0.293,0.312,0.261,0.642
76,0.309,0.335,0.292,0.676
77,0.317,0.354,0.315,0.7
78,0.333,0.377,0.344,0.724
79,0.347,0.408,0.377,0.755
80,0.358,0.426,0.394,0.776
81,0.37,0.451,0.418,0.797
82,0.383,0.474,0.444,0.812
83,0.398,0.497,0.464,0.827
84,0.407,0.525,0.485,0.843
85,0.414,0.549,0.519,0.857
86,0.421,0.568,0.536,0.879
87,0.433,0.594,0.563,0.894
88,0.444,0.63,0.574,0.908
89,0.46,0.651,0.594,0.918
90,0.468,0.665,0.609,0.924
91,0.481,0.676,0.623,0.929
92,0.491,0.702,0.636,0.938
93,0.502,0.716,0.648,0.941
94,0.514,0.729,0.663,0.946
95,0.524,0.747,0.682,0.951
96,0.531,0.758,0.691,0.957
97,0.54,0.779,0.708,0.959
98,0.546,0.79,0.725,0.961
99,0.558,0.805,0.74,0.964
100,0.565,0.814,0.75,0.966
101,0.573,0.824,0.757,0.972
102,0.58,0.83,0.772,0.974
103,0.592,0.84,0.783,0.978
104,0.596,0.844,0.798,0.98
105,0.606,0.852,0.808,0.982
106,0.615,0.865,0.81,0.982
107,0.625,0.879,0.818,0.983
108,0.633,0.892,0.827,0.983
109,0.642,0.895,0.835,0.983
110,0.651,0.903,0.842,0.984
111,0.659,0.909,0.849,0.987
112,0.664,0.918,0.857,0.99
113,0.673,0.92,0.862,0.99
114,0.678,0.924,0.864,0.99
115,0.681,0.927,0.868,0.991
116,0.691,0.93,0.874,0.992
117,0.701,0.938,0.88,0.992
118,0.705,0.941,0.885,0.994
119,0.71,0.943,0.889,0.995
120,0.715,0.948,0.899,0.995
121,0.723,0.951,0.904,0.995
122,0.728,0.954,0.908,0.995
123,0.736,0.957,0.913,0.995
124,0.741,0.959,0.917,0.995
125,0.743,0.96,0.919,0.995
126,0.746,0.96,0.923,0.995
127,0.747,0.96,0.929,0.995
128,0.753,0.963,0.929,0.995
129,0.761,0.965,0.93,0.997
130,0.765,0.967,0.934,0.997
131,0.768,0.969,0.936,0.997
132,0.768,0.972,0.938,0.999
133,0.769,0.976,0.938,0.999
134,0.773,0.977,0.939,0.999
135,0.777,0.978,0.942,0.999
136,0.779,0.978,0.944,0.999
137,0.783,0.98,0.947,0.999
138,0.785,0.98,0.948,0.999
139,0.787,0.98,0.949,0.999
140,0.792,0.981,0.949,0.999
141,0.797,0.982,0.952,0.999
142,0.8,0.982,0.956,0.999
143,0.801,0.983,0.956,0.999
144,0.804,0.983,0.956,0.999
145,0.809,0.983,0.956,0.999
146,0.809,0.983,0.957,0.999
147,0.811,0.984,0.957,0.999
148,0.817,0.985,0.958,0.999
149,0.82,0.986,0.959,0.999
150,0.821,0.986,0.962,0.999
