sigma,typeII,typeII_o,typeII_c,typeII_oc
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0.001,0,0,0
33,0.002,0,0,0
34,0.002,0,0,0
35,0.003,0,0,0
36,0.004,0,0,0.001
37,0.007,0.001,0,0.001
38,0.011,0.002,0,0.001
39,0.013,0.002,0.002,0.001
40,0.014,0.003,0.004,0.002
41,0.016,0.003,0.008,0.002
42,0.02,0.004,0.013,0.006
43,0.024,0.006,0.021,0.01
44,0.025,0.009,0.032,0.013
45,0.035,0.01,0.039,0.023
46,0.048,0.012,0.051,0.034
47,0.061,0.018,0.064,0.055
48,0.073,0.021,0.083,0.082
49,0.08,0.024,0.112,0.114
50,0.09,0.031,0.135,0.14
51,0.102,0.043,0.156,0.168
52,0.115,0.049,0.179,0.212
53,0.127,0.062,0.21,0.25
54,0.14,0.08,0.242,0.318
55,0.159,0.101,0.266,0.384
56,0.169,0.131,0.301,0.439
57,0.182,0.156,0.329,0.486
58,0.197,0.181,0.36,0.54
59,0.214,0.205,0.405,0.606
60,0.227,0.234,0.438,0.662
61,0.242,0.266,0.471,0.707
62,0.26,0.306,0.499,0.757
63,0.276,0.347,0.532,0.801
64,0.287,0.39,0.557,0.827
65,0.306,0.424,0.592,0.855
66,0.32,0.465,0.617,0.88
67,0.338,0.505,0.639,0.905
68,0.356,0.543,0.661,0.924
69,0.369,0.576,0.683,0.942
70,0.381,0.611,0.699,0.95
71,0.389,0.652,0.715,0.96
72,0.401,0.692,0.735,0.968
73,0.415,0.73,0.751,0.971
74,0.427,0.767,0.771,0.976
75,0.438,0.792,0.787,0.981
76,0.455,0.811,0.798,0.986
77,0.469,0.834,0.816,0.989
78,0.479,0.851,0.834,0.992
79,0.494,0.869,0.845,0.994
80,0.505,0.891,0.856,0.994
81,0.515,0.901,0.863,0.995
82,0.533,0.914,0.868,0.995
83,0.548,0.928,0.873,0.996
84,0.561,0.939,0.883,0.997
85,0.574,0.948,0.891,0.997
86,0.585,0.955,0.897,0.999
87,0.593,0.962,0.904,0.999
88,0.603,0.964,0.91,0.999
89,0.609,0.967,0.911,0.999
90,0.622,0.973,0.912,1
91,0.63,0.978,0.916,1
92,0.644,0.979,0.919,1
93,0.653,0.983,0.92,1
94,0.665,0.983,0.922,1
95,0.677,0.984,0.924,1
96,0.684,0.989,0.928,1
97,0.693,0.99,0.931,1
98,0.702,0.992,0.932,1
99,0.709,0.992,0.937,1
100,0.714,0.994,0.938,1
101,0.727,0.995,0.939,1
102,0.734,0.995,0.941,1
103,0.741,0.995,0.944,1
104,0.749,0.995,0.947,1
105,0.751,0.997,0.951,1
106,0.755,0.997,0.952,1
107,0.761,0.997,0.953,1
108,0.769,0.997,0.953,1
109,0.776,0.999,0.955,1
110,0.782,0.999,0.959,1
111,0.786,0.999,0.96,1
112,0.786,0.999,0.961,1
113,0.793,0.999,0.961,1
114,0.795,0.999,0.961,1
115,0.801,0.999,0.961,1
116,0.813,0.999,0.961,1
117,0.817,0.999,0.962,1
118,0.818,0.999,0.962,1
119,0.821,0.999,0.962,1
120,0.823,0.999,0.964,1
121,0.824,0.999,0.965,1
122,0.828,0.999,0.967,1
123,0.832,0.999,0.97,1
124,0.833,0.999,0.971,1
125,0.835,0.999,0.973,1
126,0.837,0.999,0.975,1
127,0.837,0.999,0.975,1
128,0.845,1,0.977,1
129,0.849,1,0.977,1
130,0.852,1,0.978,1
131,0.853,1,0.979,1
132,0.856,1,0.98,1
133,0.859,1,0.982,1
134,0.862,1,0.983,1
135,0.863,1,0.983,1
136,0.864,1,0.985,1
137,0.865,1,0.986,1
138,0.867,1,0.986,1
139,0.867,1,0.987,1
140,0.868,1,0.987,1
141,0.872,1,0.987,1
142,0.873,1,0.987,1
143,0.875,1,0.987,1
144,0.878,1,0.987,1
145,0.878,1,0.988,1
146,0.881,1,0.989,1
147,0.881,1,0.989,1
148,0.881,1,0.991,1
149,0.882,1,0.991,1
150,0.882,1,0.991,1
