sigma,typeII,typeII_o,typeII_c,typeII_oc
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0.001,0
15,0,0,0.008,0
16,0,0,0.023,0
17,0,0,0.051,0
18,0,0,0.095,0
19,0,0,0.177,0
20,0,0,0.264,0
21,0.001,0,0.352,0
22,0.001,0,0.427,0
23,0.002,0,0.514,0
24,0.007,0,0.579,0
25,0.011,0,0.65,0
26,0.018,0,0.708,0
27,0.024,0,0.762,0
28,0.032,0,0.815,0
29,0.048,0,0.851,0
30,0.061,0,0.878,0.001
31,0.078,0,0.896,0.001
32,0.09,0,0.914,0.001
33,0.108,0,0.93,0.001
34,0.134,0,0.938,0.001
35,0.154,0,0.949,0.005
36,0.178,0,0.959,0.006
37,0.199,0.002,0.966,0.01
38,0.22,0.005,0.975,0.014
39,0.25,0.007,0.978,0.029
40,0.275,0.011,0.98,0.044
41,0.293,0.023,0.983,0.063
42,0.317,0.034,0.985,0.104
43,0.34,0.049,0.987,0.162
44,0.354,0.08,0.99,0.232
45,0.372,0.124,0.99,0.323
46,0.393,0.17,0.99,0.435
47,0.409,0.238,0.992,0.547
48,0.416,0.317,0.993,0.662
49,0.435,0.402,0.995,0.771
50,0.456,0.514,0.997,0.887
51,0.473,0.612,0.997,0.941
52,0.493,0.72,0.998,0.979
53,0.504,0.824,0.998,0.991
54,0.523,0.892,0.998,0.996
55,0.54,0.932,0.998,0.998
56,0.547,0.967,0.998,1
57,0.561,0.988,0.998,1
58,0.571,0.997,0.998,1
59,0.578,0.997,0.998,1
60,0.591,1,0.998,1
61,0.599,1,0.998,1
62,0.611,1,0.998,1
63,0.622,1,0.998,1
64,0.628,1,0.998,1
65,0.641,1,0.998,1
66,0.653,1,0.998,1
67,0.664,1,0.999,1
68,0.67,1,0.999,1
69,0.678,1,0.999,1
70,0.687,1,0.999,1
71,0.694,1,0.999,1
72,0.701,1,0.999,1
73,0.709,1,0.999,1
74,0.715,1,0.999,1
75,0.724,1,0.999,1
76,0.732,1,0.999,1
77,0.738,1,0.999,1
78,0.745,1,1,1
79,0.75,1,1,1
80,0.759,1,1,1
81,0.763,1,1,1
82,0.768,1,1,1
83,0.776,1,1,1
84,0.781,1,1,1
85,0.786,1,1,1
86,0.788,1,1,1
87,0.791,1,1,1
88,0.798,1,1,1
89,0.801,1,1,1
90,0.807,1,1,1
91,0.817,1,1,1
92,0.824,1,1,1
93,0.826,1,1,1
94,0.831,1,1,1
95,0.832,1,1,1
96,0.835,1,1,1
97,0.839,1,1,1
98,0.841,1,1,1
99,0.847,1,1,1
100,0.852,1,1,1
101,0.852,1,1,1
102,0.856,1,1,1
103,0.859,1,1,1
104,0.866,1,1,1
105,0.868,1,1,1
106,0.87,1,1,1
107,0.874,1,1,1
108,0.879,1,1,1
109,0.884,1,1,1
110,0.885,1,1,1
111,0.886,1,1,1
112,0.89,1,1,1
113,0.892,1,1,1
114,0.894,1,1,1
115,0.896,1,1,1
116,0.9,1,1,1
117,0.901,1,1,1
118,0.906,1,1,1
119,0.906,1,1,1
120,0.906,1,1,1
121,0.908,1,1,1
122,0.908,1,1,1
123,0.909,1,1,1
124,0.909,1,1,1
125,0.91,1,1,1
126,0.911,1,1,1
127,0.913,1,1,1
128,0.913,1,1,1
129,0.913,1,1,1
130,0.914,1,1,1
131,0.916,1,1,1
132,0.918,1,1,1
133,0.919,1,1,1
134,0.919,1,1,1
135,0.919,1,1,1
136,0.919,1,1,1
137,0.92,1,1,1
138,0.921,1,1,1
139,0.922,1,1,1
140,0.923,1,1,1
141,0.923,1,1,1
142,0.923,1,1,1
143,0.923,1,1,1
144,0.927,1,1,1
145,0.929,1,1,1
146,0.929,1,1,1
147,0.93,1,1,1
148,0.933,1,1,1
149,0.934,1,1,1
150,0.934,1,1,1
