sigma,probtypeI
1,0.025475
2,0.025475
3,0.025475
4,0.025475
5,0.025475
6,0.025475
7,0.025475
8,0.025475
9,0.025475
10,0.025475
11,0.025475
12,0.025475
13,0.025475
14,0.025475
15,0.025475
16,0.025475
17,0.025474
18,0.025474
19,0.025472
20,0.02547
21,0.025467
22,0.025462
23,0.025457
24,0.025451
25,0.025444
26,0.025437
27,0.02543
28,0.025424
29,0.025417
30,0.025411
31,0.025406
32,0.0254
33,0.025395
34,0.025391
35,0.025386
36,0.025382
37,0.025379
38,0.025375
39,0.025372
40,0.025369
41,0.025367
42,0.025364
43,0.025362
44,0.025359
45,0.025357
46,0.025354
47,0.025352
48,0.02535
49,0.025349
50,0.025347
51,0.025346
52,0.025344
53,0.025343
54,0.025342
55,0.02534
56,0.025339
57,0.025338
58,0.025337
59,0.025335
60,0.025334
61,0.025333
62,0.025332
63,0.025331
64,0.02533
65,0.025329
66,0.025328
67,0.025328
68,0.025327
69,0.025326
70,0.025325
71,0.025324
72,0.025324
73,0.025323
74,0.025322
75,0.025321
76,0.025321
77,0.02532
78,0.025319
79,0.025319
80,0.025318
81,0.025318
82,0.025317
83,0.025317
84,0.025316
85,0.025316
86,0.025315
87,0.025315
88,0.025314
89,0.025314
90,0.025314
91,0.025313
92,0.025313
93,0.025312
94,0.025312
95,0.025311
96,0.025311
97,0.025311
98,0.025311
99,0.02531
100,0.02531
101,0.02531
102,0.025309
103,0.025309
104,0.025309
105,0.025308
106,0.025308
107,0.025308
108,0.025307
109,0.025307
110,0.025307
111,0.025306
112,0.025306
113,0.025306
114,0.025306
115,0.025306
116,0.025306
117,0.025305
118,0.025305
119,0.025305
120,0.025305
121,0.025304
122,0.025304
123,0.025304
124,0.025304
125,0.025304
126,0.025303
127,0.025303
128,0.025303
129,0.025303
130,0.025303
131,0.025302
132,0.025302
133,0.025302
134,0.025302
135,0.025302
136,0.025302
137,0.025301
138,0.025301
139,0.025301
140,0.025301
141,0.0253
142,0.0253
143,0.0253
144,0.0253
145,0.0253
146,0.0253
147,0.0253
148,0.0253
149,0.0253
150,0.025299
