sigma,probtypeII
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1.2113e-07
22,1.2113e-07
23,2.4226e-07
24,4.8453e-07
25,1.5747e-06
26,2.5438e-06
27,3.2705e-06
28,4.8453e-06
29,7.0256e-06
30,9.8116e-06
31,1.5505e-05
32,2.3136e-05
33,3.4159e-05
34,5.2208e-05
35,8.6367e-05
36,0.00014112
37,0.00023063
38,0.00037514
39,0.00060045
40,0.00092169
41,0.0013587
42,0.0019643
43,0.0027563
44,0.0037989
45,0.0051516
46,0.0068222
47,0.0088689
48,0.011294
49,0.014226
50,0.017617
51,0.021553
52,0.025977
53,0.030989
54,0.036528
55,0.042618
56,0.049254
57,0.056464
58,0.06421
59,0.072457
60,0.081151
61,0.090345
62,0.099982
63,0.10994
64,0.12035
65,0.13109
66,0.14198
67,0.15324
68,0.16473
69,0.1764
70,0.18819
71,0.20012
72,0.21215
73,0.22417
74,0.23628
75,0.24847
76,0.26066
77,0.27283
78,0.28495
79,0.29698
80,0.30904
81,0.32095
82,0.33276
83,0.34443
84,0.35601
85,0.36743
86,0.37867
87,0.38969
88,0.40062
89,0.41138
90,0.42194
91,0.43237
92,0.44257
93,0.45258
94,0.46243
95,0.47212
96,0.48165
97,0.49098
98,0.50017
99,0.50918
100,0.51799
101,0.52662
102,0.53503
103,0.54331
104,0.55136
105,0.55923
106,0.5669
107,0.57445
108,0.58182
109,0.58904
110,0.59607
111,0.60298
112,0.60981
113,0.6164
114,0.62287
115,0.62917
116,0.63531
117,0.64136
118,0.64726
119,0.65303
120,0.65866
121,0.66415
122,0.66954
123,0.67484
124,0.67994
125,0.68496
126,0.68985
127,0.6947
128,0.69943
129,0.704
130,0.70849
131,0.71288
132,0.71718
133,0.72135
134,0.72548
135,0.72952
136,0.73347
137,0.7373
138,0.74104
139,0.7447
140,0.74829
141,0.7518
142,0.75522
143,0.75863
144,0.76191
145,0.76514
146,0.76831
147,0.77141
148,0.77444
149,0.77739
150,0.78032
