sigma,probtypeII
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1.2113e-07
22,1.2113e-07
23,2.4226e-07
24,4.8453e-07
25,1.5747e-06
26,2.5438e-06
27,3.2705e-06
28,4.603e-06
29,6.5411e-06
30,8.3581e-06
31,1.1871e-05
32,1.5141e-05
33,1.7201e-05
34,2.0592e-05
35,2.5801e-05
36,3.1736e-05
37,4.1306e-05
38,5.3177e-05
39,7.0377e-05
40,9.6784e-05
41,0.0001244
42,0.00017552
43,0.00022954
44,0.00032063
45,0.00045376
46,0.00061947
47,0.00084162
48,0.0011248
49,0.0015276
50,0.002022
51,0.0026613
52,0.0035095
53,0.0046544
54,0.0060789
55,0.0079989
56,0.010364
57,0.01353
58,0.017636
59,0.023083
60,0.029851
61,0.038162
62,0.048755
63,0.061669
64,0.077011
65,0.094894
66,0.11541
67,0.13874
68,0.16442
69,0.19262
70,0.22258
71,0.25443
72,0.28773
73,0.32159
74,0.3563
75,0.39149
76,0.42608
77,0.45995
78,0.49338
79,0.52578
80,0.55721
81,0.58741
82,0.61567
83,0.64258
84,0.6684
85,0.69278
86,0.71551
87,0.73683
88,0.75681
89,0.77538
90,0.79251
91,0.80863
92,0.82351
93,0.83733
94,0.8498
95,0.86155
96,0.87231
97,0.88237
98,0.89163
99,0.90017
100,0.90816
101,0.91543
102,0.92212
103,0.92821
104,0.93376
105,0.93884
106,0.94359
107,0.94786
108,0.95184
109,0.95556
110,0.95891
111,0.96199
112,0.96484
113,0.96748
114,0.96989
115,0.97202
116,0.97407
117,0.97602
118,0.97781
119,0.97935
120,0.98082
121,0.98218
122,0.98343
123,0.98463
124,0.98574
125,0.98678
126,0.9877
127,0.98856
128,0.98934
129,0.99004
130,0.99069
131,0.99135
132,0.99189
133,0.99245
134,0.99293
135,0.99341
136,0.99386
137,0.99423
138,0.99461
139,0.99495
140,0.99525
141,0.99556
142,0.9958
143,0.99604
144,0.99625
145,0.99651
146,0.99669
147,0.99693
148,0.9971
149,0.99729
150,0.99744
